Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,bloomington,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,Sample Name,source_name,SRA Study,Strain,time_of_harvesting,time_series_type,Tissue
SRR8522637,RNA-Seq,63,244744605,PRJNA518903,SAMN10862681,28233,114366204,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324948,GSM3588790,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588790,RAL-796_brain_T=CT11,SRP183194,RAL-796,T=CT11,Time-series for RAL-796,whole brain
SRR8522638,RNA-Seq,63,160651449,PRJNA518903,SAMN10862680,28233,75147382,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324949,GSM3588791,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588791,RAL-796_brain_T=CT11,SRP183194,RAL-796,T=CT11,Time-series for RAL-796,whole brain
SRR8522639,RNA-Seq,63,315169911,PRJNA518903,SAMN10862679,28233,146344905,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324950,GSM3588792,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588792,RAL-796_brain_T=CT13,SRP183194,RAL-796,T=CT13,Time-series for RAL-796,whole brain
SRR8522640,RNA-Seq,63,167381613,PRJNA518903,SAMN10862737,28233,78032636,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324951,GSM3588793,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588793,RAL-796_brain_T=CT13,SRP183194,RAL-796,T=CT13,Time-series for RAL-796,whole brain
SRR8522641,RNA-Seq,63,186920874,PRJNA518903,SAMN10862736,28233,87106915,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325024,GSM3588794,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588794,RAL-796_brain_T=CT15,SRP183194,RAL-796,T=CT15,Time-series for RAL-796,whole brain
SRR8522642,RNA-Seq,63,132725439,PRJNA518903,SAMN10862735,28233,61623185,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325025,GSM3588795,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588795,RAL-796_brain_T=CT15,SRP183194,RAL-796,T=CT15,Time-series for RAL-796,whole brain
SRR8522643,RNA-Seq,63,263633391,PRJNA518903,SAMN10862734,28233,123704579,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325026,GSM3588796,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588796,RAL-796_brain_T=CT17,SRP183194,RAL-796,T=CT17,Time-series for RAL-796,whole brain
SRR8522644,RNA-Seq,63,154756098,PRJNA518903,SAMN10862733,28233,72340568,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325027,GSM3588797,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588797,RAL-796_brain_T=CT17,SRP183194,RAL-796,T=CT17,Time-series for RAL-796,whole brain
SRR8522645,RNA-Seq,63,148871331,PRJNA518903,SAMN10862732,28233,69230880,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325028,GSM3588798,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588798,RAL-796_brain_T=CT19,SRP183194,RAL-796,T=CT19,Time-series for RAL-796,whole brain
SRR8522646,RNA-Seq,63,95971113,PRJNA518903,SAMN10862678,28233,44925209,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325029,GSM3588799,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588799,RAL-796_brain_T=CT19,SRP183194,RAL-796,T=CT19,Time-series for RAL-796,whole brain
SRR8522647,RNA-Seq,63,80987886,PRJNA518903,SAMN10862731,28233,37898845,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325030,GSM3588800,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588800,RAL-796_brain_T=CT21,SRP183194,RAL-796,T=CT21,Time-series for RAL-796,whole brain
SRR8522648,RNA-Seq,63,113597379,PRJNA518903,SAMN10862730,28233,53247203,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325031,GSM3588801,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588801,RAL-796_brain_T=CT21,SRP183194,RAL-796,T=CT21,Time-series for RAL-796,whole brain
SRR8522649,RNA-Seq,63,142397892,PRJNA518903,SAMN10862729,28233,66360097,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325032,GSM3588802,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588802,RAL-796_brain_T=CT23,SRP183194,RAL-796,T=CT23,Time-series for RAL-796,whole brain
SRR8522650,RNA-Seq,63,64931202,PRJNA518903,SAMN10862728,28233,30593409,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325033,GSM3588803,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588803,RAL-796_brain_T=CT23,SRP183194,RAL-796,T=CT23,Time-series for RAL-796,whole brain
SRR8522651,RNA-Seq,63,136340946,PRJNA518903,SAMN10862727,28233,63349930,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325034,GSM3588804,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588804,RAL-796_gut_T=ZT1,SRP183194,RAL-796,T=ZT1,Time-series for RAL-796,whole gut
SRR8522652,RNA-Seq,63,83340369,PRJNA518903,SAMN10862726,28233,38946278,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325035,GSM3588805,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588805,RAL-796_gut_T=ZT1,SRP183194,RAL-796,T=ZT1,Time-series for RAL-796,whole gut
SRR8522653,RNA-Seq,63,154557648,PRJNA518903,SAMN10862725,28233,71330108,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325036,GSM3588806,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588806,RAL-796_gut_T=ZT3,SRP183194,RAL-796,T=ZT3,Time-series for RAL-796,whole gut
SRR8522654,RNA-Seq,63,98340858,PRJNA518903,SAMN10862724,28233,45872212,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325037,GSM3588807,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588807,RAL-796_gut_T=ZT3,SRP183194,RAL-796,T=ZT3,Time-series for RAL-796,whole gut
SRR8522655,RNA-Seq,63,119853216,PRJNA518903,SAMN10862723,28233,55395651,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325038,GSM3588808,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588808,RAL-796_gut_T=ZT5,SRP183194,RAL-796,T=ZT5,Time-series for RAL-796,whole gut
SRR8522656,RNA-Seq,63,106618680,PRJNA518903,SAMN10862722,28233,49777149,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325039,GSM3588809,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588809,RAL-796_gut_T=ZT5,SRP183194,RAL-796,T=ZT5,Time-series for RAL-796,whole gut
SRR8522657,RNA-Seq,63,188324514,PRJNA518903,SAMN10862721,28233,87450860,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325040,GSM3588810,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588810,RAL-796_gut_T=ZT7,SRP183194,RAL-796,T=ZT7,Time-series for RAL-796,whole gut
SRR8522658,RNA-Seq,63,138292497,PRJNA518903,SAMN10862708,28233,64076130,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325041,GSM3588811,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588811,RAL-796_gut_T=ZT7,SRP183194,RAL-796,T=ZT7,Time-series for RAL-796,whole gut
SRR8522659,RNA-Seq,63,204924006,PRJNA518903,SAMN10862707,28233,94835793,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325042,GSM3588812,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588812,RAL-796_gut_T=ZT9,SRP183194,RAL-796,T=ZT9,Time-series for RAL-796,whole gut
SRR8522660,RNA-Seq,63,101756277,PRJNA518903,SAMN10862757,28233,47583709,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325043,GSM3588813,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588813,RAL-796_gut_T=ZT9,SRP183194,RAL-796,T=ZT9,Time-series for RAL-796,whole gut
SRR8522661,RNA-Seq,63,155237670,PRJNA518903,SAMN10862756,28233,72493790,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325044,GSM3588814,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588814,RAL-796_gut_T=ZT11,SRP183194,RAL-796,T=ZT11,Time-series for RAL-796,whole gut
SRR8522662,RNA-Seq,63,117320805,PRJNA518903,SAMN10862755,28233,54379783,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325045,GSM3588815,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588815,RAL-796_gut_T=ZT11,SRP183194,RAL-796,T=ZT11,Time-series for RAL-796,whole gut
SRR8522663,RNA-Seq,63,143005464,PRJNA518903,SAMN10862754,28233,66687693,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325046,GSM3588816,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588816,RAL-796_gut_T=ZT13,SRP183194,RAL-796,T=ZT13,Time-series for RAL-796,whole gut
SRR8522664,RNA-Seq,63,106671159,PRJNA518903,SAMN10862753,28233,49650405,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325047,GSM3588817,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588817,RAL-796_gut_T=ZT13,SRP183194,RAL-796,T=ZT13,Time-series for RAL-796,whole gut
SRR8522665,RNA-Seq,63,146746656,PRJNA518903,SAMN10862752,28233,68592688,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325120,GSM3588818,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588818,RAL-796_gut_T=ZT15,SRP183194,RAL-796,T=ZT15,Time-series for RAL-796,whole gut
SRR8522666,RNA-Seq,63,113025906,PRJNA518903,SAMN10862751,28233,52689352,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325121,GSM3588819,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588819,RAL-796_gut_T=ZT15,SRP183194,RAL-796,T=ZT15,Time-series for RAL-796,whole gut
SRR8522667,RNA-Seq,63,127747053,PRJNA518903,SAMN10862750,28233,59154187,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5325122,GSM3588820,Illumina HiSeq 2500,BRB2_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588820,RAL-796_gut_T=ZT17,SRP183194,RAL-796,T=ZT17,Time-series for RAL-796,whole gut
